dates,nzd0518-0000,nzd0518-0001,nzd0518-0002,nzd0518-0003,nzd0518-0004,nzd0518-0005,nzd0518-0006,nzd0518-0007,nzd0518-0008,nzd0518-0009,nzd0518-0010,nzd0518-0020,nzd0518-0021,nzd0518-0022,nzd0518-0023,nzd0518-0024,nzd0518-0025,nzd0518-0026,nzd0518-0027,nzd0518-0028,nzd0518-0029,nzd0518-0030,nzd0518-0031,nzd0518-0032,nzd0518-0033,nzd0518-0034,nzd0518-0035,nzd0518-0036,nzd0518-0037,nzd0518-0038,nzd0518-0039,nzd0518-0040,nzd0518-0041,nzd0518-0042,nzd0518-0043,nzd0518-0044,nzd0518-0045,nzd0518-0046,nzd0518-0047,nzd0518-0048,nzd0518-0049,nzd0518-0050,nzd0518-0051,nzd0518-0052,nzd0518-0053,nzd0518-0054,nzd0518-0055,nzd0518-0056,nzd0518-0057,nzd0518-0058,nzd0518-0059,nzd0518-0060,nzd0518-0061,nzd0518-0062,nzd0518-0063,nzd0518-0064,nzd0518-0065,nzd0518-0066,nzd0518-0067,nzd0518-0068,nzd0518-0069,nzd0518-0070,nzd0518-0071,nzd0518-0072,nzd0518-0073,nzd0518-0074,nzd0518-0075,nzd0518-0076,nzd0518-0077,nzd0518-0078,nzd0518-0079,nzd0518-0080,nzd0518-0081,nzd0518-0082,nzd0518-0083,nzd0518-0084,nzd0518-0085,nzd0518-0086,nzd0518-0087,nzd0518-0088,nzd0518-0089,nzd0518-0090,nzd0518-0091,nzd0518-0092,nzd0518-0093,nzd0518-0094,nzd0518-0095,nzd0518-0096,nzd0518-0097,nzd0518-0098,nzd0518-0099,nzd0518-0100,nzd0518-0101,nzd0518-0102,nzd0518-0103,nzd0518-0104,nzd0518-0105,nzd0518-0106,nzd0518-0107,nzd0518-0108,nzd0518-0109,nzd0518-0110,nzd0518-0111,nzd0518-0112,nzd0518-0113,nzd0518-0114,nzd0518-0115,nzd0518-0116,nzd0518-0117,nzd0518-0118,nzd0518-0119,nzd0518-0120,nzd0518-0121,nzd0518-0122,nzd0518-0123,nzd0518-0124,nzd0518-0125,nzd0518-0126,nzd0518-0127,nzd0518-0128,nzd0518-0129,nzd0518-0130,nzd0518-0131,nzd0518-0132,nzd0518-0133,nzd0518-0134,nzd0518-0135,nzd0518-0136,nzd0518-0137,nzd0518-0138,nzd0518-0139,nzd0518-0140,nzd0518-0141,nzd0518-0142,nzd0518-0143,nzd0518-0144,nzd0518-0145,nzd0518-0146,nzd0518-0147,nzd0518-0148,nzd0518-0149,nzd0518-0150,nzd0518-0151,nzd0518-0152,nzd0518-0153,nzd0518-0154,nzd0518-0155,nzd0518-0156,nzd0518-0157,nzd0518-0158,nzd0518-0159,nzd0518-0160,nzd0518-0161,nzd0518-0162,nzd0518-0163,nzd0518-0164,nzd0518-0165,nzd0518-0166,nzd0518-0167,nzd0518-0168,nzd0518-0169,nzd0518-0170,nzd0518-0171,nzd0518-0172,nzd0518-0173,nzd0518-0174,nzd0518-0175,nzd0518-0176,nzd0518-0177,nzd0518-0178,nzd0518-0179,nzd0518-0180,nzd0518-0181,nzd0518-0182,nzd0518-0183,nzd0518-0016,nzd0518-0017,nzd0518-0018,nzd0518-0019,nzd0518-0184,nzd0518-0011,nzd0518-0012,nzd0518-0013,nzd0518-0014,nzd0518-0015,satname
1999-12-30 22:19:45+00:00,,,,,,,,,,,,,237.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.61,211.68,203.63,,202.71,,,202.03,197.25,,198.48,,,,,,,,,,203.26,,212.87,207.97,214.1,203.74,201.4,202.49,192.56,,210.55,222.79,219.91,221.8,220.17,222.4,223.18,225.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.88,233.49,,,,,,,,,253.21,,,,,,,,,,,,,,,,252.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.79,282.14,,,,,249.51,,,,,,L7
2000-04-20 22:19:15+00:00,,,,,267.97,269.5,,273.85,271.32,,,,237.23,,,,,,,331.29,,,,,311.44,,,312.69,311.08,303.69,,,,292.65,296.47,,,,,,,,,224.66000000000003,230.215,223.57,240.74,217.745,242.92,239.97,219.595,216.75,238.47,217.20999999999998,,235.46,239.91,238.54,239.98,236.29,242.55,245.0,245.27,222.20999999999998,,228.97,226.08499999999998,228.39999999999998,220.39,201.4,202.49,203.73000000000002,,219.16500000000002,227.33999999999997,223.28,222.9,223.795,230.98000000000002,236.35000000000002,235.885,240.23,235.22,226.19,,215.38,223.14,,222.58,235.61,,,,307.05,314.9,,,,,,,,,,,,,,,,,,248.17,242.74,,,,,,240.45,241.23,,256.91,,242.62,246.59,246.08,,,,,,,,,,,,270.58500000000004,286.07,269.86,286.14,271.84,244.77,255.8,274.5,,272.36,277.75,281.04,274.23,280.47,,271.7,,,,,229.63,285.78,,284.16,,255.35,262.25,,,239.29,222.85,,,,,220.79,282.14,,,,,249.51,,,,,,L7
2000-05-22 22:18:57+00:00,,,,,267.97,269.5,,273.85,271.32,,,,237.23,,,,,,,331.29,,,,,311.44,,,312.69,311.08,303.69,,,,292.65,296.47,,,,,,,,,224.66000000000003,230.215,223.57,240.74,217.745,242.92,239.97,219.595,216.75,238.47,217.20999999999998,,235.46,239.91,238.54,239.98,236.29,242.55,245.0,245.27,222.20999999999998,,228.97,226.08499999999998,228.39999999999998,220.39,201.4,202.49,203.73000000000002,,219.16500000000002,227.33999999999997,223.28,222.9,223.795,230.98000000000002,236.35000000000002,229.50666666666666,227.79,222.41500000000002,217.155,175.28,203.345,210.39999999999998,157.7,204.48000000000002,235.61,,,,307.05,314.9,,,,,,,,,,,,,,,,,,248.17,242.74,,,,,,240.45,241.23,,256.91,,242.62,246.59,246.08,,,,,,,,,223.71,200.39,182.3,270.58500000000004,286.07,260.96000000000004,278.09000000000003,271.84,244.77,255.8,274.5,,272.36,277.75,281.04,274.23,280.47,238.94,251.95,237.08,,252.7,249.49,229.63,285.78,,284.16,,255.35,262.25,,,239.29,222.85,,,,,203.72,282.14,,,,,249.51,,,,,,L7
2000-06-07 22:18:48+00:00,,,,,279.035,280.46500000000003,,273.85,271.32,,,,237.23,,,,,,,331.29,,,,,311.44,,244.2,312.69,311.08,303.69,,,,292.65,296.47,,165.08,,170.21,162.33,,156.46,,224.66000000000003,230.215,223.57,240.74,217.745,242.92,239.97,219.595,216.75,238.47,217.20999999999998,,235.46,239.91,238.54,239.98,236.29,242.55,245.0,245.27,222.20999999999998,,228.97,226.08499999999998,228.39999999999998,220.39,201.4,202.49,203.73000000000002,,219.96333333333334,226.08666666666667,223.28,222.9,223.795,230.98000000000002,236.35000000000002,233.58249999999998,231.36666666666667,228.5666666666667,220.08333333333334,175.28,203.345,210.39999999999998,157.7,203.34666666666666,221.365,187.23,,,307.05,314.9,,,,,,,,,,,,,,,,,,248.17,242.74,,,,,,240.45,241.23,,256.91,,242.62,246.59,246.08,,,,,,226.04,,,223.71,200.39,182.3,270.58500000000004,286.07,260.96000000000004,278.09000000000003,271.84,243.17000000000002,257.36,274.5,,271.295,273.08000000000004,281.04,274.23,280.47,238.94,251.95,237.08,,252.7,249.49,232.515,285.78,,284.16,,252.075,262.25,,,236.175,222.85,,,,,203.72,282.14,,,,,249.51,,,,,,L7
2000-09-27 22:17:24+00:00,,,,,279.035,280.46500000000003,,273.85,271.32,,,,252.89,,,,275.06,,,318.78,288.82,281.85,,,298.185,,255.315,293.93,297.15,292.645,275.05,271.52,264.86,287.28999999999996,279.885,,176.245,,182.325,179.97000000000003,,169.11,,242.71,248.75,231.13,231.57,227.66500000000002,230.43,226.565,228.70499999999998,223.58499999999998,226.595,224.715,,221.84,239.91,238.54,239.98,236.29,242.55,245.0,245.27,241.16,,245.07,244.2,232.16,237.04,203.79,209.5,205.965,,222.46333333333334,225.10000000000002,222.26999999999998,221.28,225.42,233.085,241.48000000000002,235.76749999999998,230.9425,228.4625,219.595,193.17000000000002,203.345,210.39999999999998,171.495,204.1175,218.10666666666668,182.69,,,307.05,314.9,,,,,,,,,,,,,,,,,,252.41,245.96,,,,,,240.45,241.23,,251.645,,237.24,246.59,246.08,,,,,,226.04,,,223.71,200.39,182.3,275.505,275.405,260.96000000000004,278.09000000000003,271.84,243.17000000000002,257.36,274.5,,262.11,266.7133333333333,264.46000000000004,261.315,269.39,252.3,252.85333333333332,253.47500000000002,,266.395,264.35,232.515,285.78,,284.16,,252.075,249.525,,,236.175,206.695,,,,,186.65,,,,,231.88,,,,,,,L7
2000-10-29 22:17:19+00:00,259.29,255.18,262.82,271.33,285.665,283.08000000000004,,278.93,285.1,,274.24,,252.89,,,330.0,294.695,,314.82,309.27,307.35,298.58500000000004,338.86,,303.185,336.72,255.315,275.17,294.615,291.91,286.095,285.735,279.6,297.28,280.92,,176.245,,182.325,179.97000000000003,,169.11,276.42,269.09,,218.75,222.4,222.55,217.94,213.16,220.25,210.92,214.72,213.49,,208.22,255.13,251.37,257.38,248.62,252.9,256.4,252.17,249.03,,248.26,253.05,237.385,256.83,203.79,209.5,226.155,253.35,219.805,221.70500000000004,217.89,242.68,247.92000000000002,241.91,245.86,238.4225,234.20999999999998,232.16,223.995,206.42333333333332,191.31,214.655,171.495,208.14499999999998,209.35500000000002,182.69,,289.23,309.19,326.63,,,,,323.99,,333.5,330.85,326.06,325.79,327.16,,,,,,,243.36,239.93,,,,,,,,,242.68,,231.86,,,,,,,,226.04,,,223.71,200.39,182.3,262.71,264.74,252.06,270.04,,241.57,258.92,,,256.985,273.31,272.025,248.4,276.59000000000003,268.83,243.42999999999998,270.47,,279.0433333333333,279.1766666666667,235.4,303.25,,318.34,298.71,248.8,261.045,,,233.06,190.54,,,,,186.65,,,,,231.88,,,,,,,L7
2001-03-22 22:17:09+00:00,259.29,255.18,262.82,271.33,281.23,274.73,,278.93,285.1,,274.24,,239.35,309.21,333.5,331.77,303.18666666666667,339.24,321.23,313.20666666666665,311.08666666666664,306.72,325.15999999999997,309.95,301.72,317.06500000000005,266.43,287.425,296.81,291.91,286.095,285.735,279.6,297.28,280.92,,187.41,,194.44,197.61,,181.76,276.42,269.09,,218.75,222.4,222.55,217.94,213.16,220.25,210.92,214.72,213.49,,208.22,255.13,251.37,257.38,248.62,252.9,256.4,252.17,249.03,,248.26,253.05,237.385,254.33000000000004,203.79,209.5,225.65666666666667,240.26,218.05,219.83,217.89,243.0666666666667,243.46,243.76666666666665,246.8066666666667,246.82666666666668,242.01333333333332,239.99666666666667,231.42666666666665,223.93000000000004,,231.65,185.29,222.55999999999997,229.39,191.32,215.0,278.275,306.87,320.16499999999996,278.35,251.63,240.86,259.2,313.84000000000003,,315.275,324.26,323.645,320.49,321.115,,,,,,,258.765,252.3,,,,,,,,,254.4,258.72,243.375,,,,,,,,,,,,,,262.71,264.74,,,,,,,,243.74,279.12333333333333,280.3866666666667,265.585,279.27666666666664,285.5333333333333,268.535,290.68333333333334,,295.8633333333333,296.32666666666665,249.38,297.475,278.7,304.30999999999995,287.495,266.75,265.3766666666667,264.52,261.38,259.13,190.54,256.46,,,,,,,,,231.88,,,,,,,L7
2001-04-07 22:17:01+00:00,259.29,255.18,262.82,271.33,281.23,274.73,,278.93,285.1,,274.24,,225.81,309.21,333.5,331.77,317.25,339.24,321.23,316.67499999999995,322.22,319.15500000000003,325.15999999999997,309.95,310.115,317.06500000000005,,299.68,303.605,302.22,297.14,299.95,294.34,312.63,298.54,,,,,,,,276.42,269.09,,,,,,,,,,,,,255.13,251.37,257.38,248.62,252.9,256.4,252.17,249.03,,248.26,253.05,253.15,254.33000000000004,,,239.97000000000003,240.26,207.17,212.57,209.49,239.64000000000001,237.95333333333335,242.05666666666664,241.15333333333334,242.54999999999998,239.51,236.25,228.83666666666667,212.01,169.98,231.65,,238.69,247.19,204.49,215.0,278.275,306.87,320.16499999999996,278.35,251.63,240.86,259.2,313.84000000000003,,315.275,324.26,323.645,320.49,321.115,,,,,,,274.17,264.67,221.28,204.99,,,,,,,248.71,240.955,235.81,217.56,,,198.8,218.5,235.62,,233.05,228.1,,230.31,,,255.05,,,258.66,,,,,,,291.69500000000005,296.64000000000004,282.77,289.76,295.46999999999997,247.03500000000003,282.1433333333334,221.23,289.3966666666667,292.4033333333333,249.38,297.475,278.7,304.30999999999995,287.495,266.75,279.6650000000001,264.52,261.38,259.13,,256.46,,,,242.95,,,,,,265.94,,,,,,L7
2001-12-19 22:15:37+00:00,262.31,270.14,271.21,254.97,,241.95,,,235.1,238.22,239.89,306.41,,328.98,358.81,345.41,349.18,344.39,343.52,298.47,,,277.86,283.18,281.02,276.64,278.0,303.75,307.92,310.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.56,,,,,,,,,,,338.53,336.35,346.32,346.53,,394.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.41,278.25,235.5,,246.5,240.21,237.45,234.23,,L7
2002-07-31 22:15:11+00:00,,272.2,228.73,,315.19,,,,,,,,,,,,,,,,,,,,,,,271.6,,,,,,,,,,,,,,,,,,,,,,,,,,,256.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.22,218.86,,,,,281.31,282.79,245.31,,,,,,,,,,,,,,,,248.72,,,,,,257.68,,,,,,,,245.62,238.48,,,,,,,,,,,,,,272.57,287.15,,,,,,280.47,,,,,,,,,,290.57,281.79,,,284.93,,267.97,,,,,,,,,,,,,,,,,,,,,,L7
2002-10-03 22:14:41+00:00,,272.2,228.73,,315.19,,,,,,,,,,258.43,,,,,,,,,,,255.78,,271.6,,,,,,,,,,,,,,,,,,,,,,,,,,,256.85,,,,,,,,,,,,,,,,,,,213.63,205.85,177.23,213.6,219.05,222.32,213.18,228.57,221.81,221.52,209.09,211.44,205.79,212.59,192.325,215.26,,186.35,,,281.31,282.79,245.31,,,,,,,,,,,,,,,,248.72,,238.0,,,,257.68,,,,,240.45,229.81,225.18,245.62,238.48,,,,,,,,,,,,,,272.57,287.15,,,,,,280.47,,,,,,243.86,247.39,252.45,262.0,290.57,281.79,,,284.93,,267.97,,,,,,,,,,,,,,,,,,,,,,L7
2003-04-13 22:15:43+00:00,,,,,,,,,,,,,,290.11,298.05,,311.86,,,284.51,,,,,280.07,261.09,,269.32,269.2,,,,265.05,,262.45,,,,252.64,,,,243.85,231.32,239.13,226.42,226.74,233.85,229.94,226.55,224.87,225.55,225.17,223.94,222.99,223.64,223.77,227.49,227.74,230.94,217.98,,219.35,222.74,,225.44,232.92,230.17,229.55,209.05,199.49,207.92,196.6,222.16,225.33,224.31,215.91,221.9,230.66,237.83,240.88,235.06,233.01,222.97,215.97,213.56,211.74,199.52,211.65,208.48,184.97,,,,259.71,,220.88,218.23,223.64,,,,,,,,,,,,,240.13,252.57,,245.36,240.84,,252.92,251.85,215.42,232.09,,264.21,242.87,235.48,239.16,230.95,,,247.07,,232.94,255.63,254.79,,,,,283.44,272.75,267.08,274.48,259.54,237.48,248.44,254.55,241.96,260.38,260.31,270.74,257.84,260.76,263.49,256.49,273.58,282.65,287.23,283.33,,266.84,252.22,267.69,246.0,236.5,253.25,242.37,235.01,,210.78,218.22,216.53,244.89,,,,,,,,,,,,,,L7
2003-08-11 22:03:51+00:00,,,,,,,,,,,,,,290.11,298.05,,311.86,,,284.51,,,,,280.07,261.09,,269.32,269.2,,,,265.05,,262.45,,,,252.64,,,,243.85,231.32,239.13,226.42,226.74,233.85,229.94,226.55,224.87,225.55,225.17,223.94,222.99,223.64,223.77,227.49,227.74,230.94,217.98,,219.35,222.74,,225.44,232.92,230.17,229.55,209.05,199.49,207.92,185.88,209.305,213.39,213.245,215.91,221.9,230.66,218.5,231.17000000000002,230.46,225.22,211.45,215.97,213.56,211.74,199.52,211.65,208.48,184.97,,,,259.71,,220.88,218.23,223.64,,,,,,,,,,,,,229.17000000000002,252.57,,238.84500000000003,228.79500000000002,207.26,252.925,238.285,215.42,232.09,,252.45999999999998,239.935,229.515,231.39999999999998,214.57,170.01,213.12,247.07,239.08,219.67000000000002,255.63,245.905,234.79,229.34,197.11,187.33,283.44,272.75,267.08,274.48,259.54,237.48,248.44,254.55,241.96,260.38,260.31,267.405,252.355,256.735,252.20499999999998,251.60000000000002,261.735,264.63,280.405,283.33,,266.84,252.22,267.69,237.08499999999998,230.025,254.49,230.74,223.78,,199.78,191.93,199.09,235.81,,,,,,,,249.47,,,,,,L5
2003-10-14 22:04:51+00:00,245.52,245.48,234.34,,,,233.91,223.44,225.11,231.16,,304.14,,,332.4,327.49,330.71,328.06,330.67,,327.99,325.71,328.26,319.29,320.49,315.66,316.48,311.71,313.34,310.14,317.57,309.68,,305.67,,,,,301.46,,,,,,,,279.7,271.91,279.89,280.81,,280.06,275.94,275.08,266.8,267.04,272.16,272.2,269.94,272.81,274.56,278.36,,,,,,,,,,,175.16,196.45,201.45,202.18,,,,199.17,221.46,225.86,217.43,199.93,,,,,,,,,305.3,295.45,304.95,335.98,,,,,,,348.94,344.51,349.72,342.78,,369.33,,,,218.21,,,232.33,216.75,207.26,252.93,224.72,,,,240.71,237.0,223.55,223.64,198.19,170.01,213.12,,239.08,206.4,,237.02,234.79,229.34,197.11,187.33,,,,,,,,,,,,264.07,246.87,252.71,240.92,246.71,249.89,246.61,273.58,,,,,,228.17,223.55,255.73,219.11,212.55,,188.78,165.64,181.65,226.73,,,,145.68,283.29,310.83,,249.47,,,,,,L5
2004-04-23 22:06:53+00:00,,,,,,,,,,,,,,274.3,279.76,,,,,,,,,,,,,,,,,,,,,,183.88,,,178.47,,170.05,,,,230.64,,,,,,,,,,,,,,,,,,,,,,194.18,194.85,209.17,206.29,214.88,200.08,225.66,227.6,224.42,213.92,205.36,228.97,,,218.84,217.67,208.63,222.9,219.91,224.85,204.28,209.9,208.38,178.13,,,,,,,,,,,,,,,,,,,,,,257.23,245.64,,229.05,234.39,259.12,236.84,,220.56,199.61,252.95,241.25,240.45,241.85,235.36,187.65,223.89,,,232.98,250.76,244.55,251.56,246.29,220.61,,,,257.03,271.17,252.0,239.98,249.92,,215.67,261.41,264.36,274.02,251.57,,214.7,240.34,,223.03,,,,272.34,260.6,277.33,246.96,231.49,,,241.08,218.5,222.14,,210.65,,,,,,,,,276.98,,,,,,L5
2004-07-12 22:09:13+00:00,,,,,,,,,,,,,,274.3,279.76,,,,,,,,,,,,,,,,,,,,,,183.88,,,178.47,,170.05,,,,230.64,,,,,,,,,,,,,,,,,,,,,,194.18,194.85,209.17,206.29,214.88,200.08,225.66,227.6,224.42,213.92,205.36,228.97,,,218.84,217.67,208.63,222.9,219.91,224.85,204.28,209.9,208.38,178.13,,,,,,,,,,,,,,,,,,,,,,257.23,245.64,218.79,215.85500000000002,234.39,259.12,236.84,,220.56,199.61,252.95,232.87,225.195,241.85,235.36,187.65,223.89,,,232.98,250.76,244.55,251.56,246.29,220.61,,,,247.57,271.17,239.175,239.98,249.92,,215.67,261.41,264.36,274.02,249.63,252.49,214.7,237.95499999999998,241.32,223.675,262.28,251.83,,272.34,260.6,277.33,229.335,222.53,,,213.775,193.23000000000002,222.14,145.89,210.65,214.65,,,,,,,,276.98,,,,,,L5
2004-08-29 22:10:22+00:00,,,,,,,,,,,,198.68,251.15,278.44,279.76,339.16,336.42,322.55,328.37,329.74,326.4,322.3,323.79,316.34,318.44,312.34,310.99,313.57,310.26,305.97,300.78,305.47,299.82,299.2,298.92,297.43,240.225,298.36,295.69,236.72500000000002,286.34,226.005,273.08,274.92,273.41,249.31,264.13,267.38,260.18,257.33,256.76,257.54,255.66,255.35,254.84,258.52,252.74,253.08,252.56,254.09,252.99,255.63,257.08,262.43,262.81,267.78,272.72,234.215,232.02499999999998,241.40499999999997,237.8,228.725,221.055,247.27999999999997,227.6,248.59499999999997,244.445,227.45,245.41500000000002,265.95,,241.945,237.51,208.63,233.76999999999998,230.34,233.77499999999998,226.6,231.01,237.70499999999998,202.79,250.43,,267.95,302.23,300.43,282.72,280.63,290.2,276.64,294.42,288.05,,,,304.05,295.73,,305.36,300.72,,,279.82500000000005,245.64,218.79,215.85500000000002,234.39,276.53999999999996,236.84,298.2,220.56,199.61,252.95,232.87,225.195,241.85,235.36,187.65,223.89,,,232.98,250.76,244.55,251.56,246.29,220.61,,311.61,304.63,247.57,271.17,239.175,239.98,249.92,,215.67,261.41,264.36,274.02,249.63,252.49,214.7,237.95499999999998,241.32,223.675,262.28,251.83,,272.34,260.6,296.475,229.335,222.53,,,213.775,193.23000000000002,222.14,145.89,210.65,214.65,,,,147.58,,,183.31,276.98,,,,,,L5
2004-11-01 22:11:49+00:00,,,,,,,,,,,,198.68,251.15,282.58,,339.16,336.42,322.55,325.645,327.935,323.715,317.775,321.05,313.72,313.89,309.28499999999997,308.645,308.71000000000004,304.945,302.735,298.24,302.515,298.42499999999995,297.735,297.765,295.58000000000004,297.84000000000003,298.53,292.945,291.96000000000004,285.23,280.365,272.42999999999995,273.615,270.94500000000005,267.49,262.875,264.955,259.28,257.74,256.695,257.73,256.4,255.04,254.555,254.785,250.835,251.565,248.765,251.905,250.695,253.13,252.75,259.18,258.635,261.855,266.62,267.105,263.695,269.03,267.03999999999996,243.365,241.84,269.67999999999995,,273.355,274.56,258.735,263.07,266.145,,264.725,260.295,,244.64,240.77,242.7,248.92,252.12,267.595,233.45999999999998,235.435,,254.99,294.70000000000005,300.995,293.12,291.48,299.525,290.355,301.83000000000004,296.265,,305.04,311.72,310.92,304.78499999999997,,313.6,311.38,,,312.005,,218.79,202.66,,293.96,,298.2,,,,224.49,209.94,,,,,,,,,,,,,,311.61,304.63,238.11,,226.35,,,,,,,,247.69,252.49,,235.57,241.32,224.32,262.28,251.83,,,,315.62,211.71,213.57,,,186.47,167.96,,145.89,,214.65,,,,147.58,,,183.31,,,,,,,L5
2005-06-13 22:14:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.43,229.76,,210.04,214.45,195.38,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,243.91,233.46,225.21,,256.11,223.51,,215.91,206.45,243.62,,218.0,232.07,220.93,184.58,,,,208.06,243.87,241.54,,,,,,,256.59,263.43,252.48,235.68,250.89,262.76,226.93,248.34,269.31,,256.86,260.88,261.95,258.84,264.69,248.69,,,,,263.39,262.83,,227.43,260.37,,223.12,171.6,182.91,169.27,199.63,,,,,,,,,,,,,,,L5
2005-07-15 22:14:43+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.72,222.89499999999998,,210.04,205.93,195.685,211.26999999999998,,,,,,,,,,,,,,,,,,,,,,,,,227.81,,240.655,234.66000000000003,219.35500000000002,203.29,256.11,223.51,,215.91,206.45,239.07,,216.495,232.07,205.72,180.35000000000002,,,,208.06,243.87,237.03,242.28,220.53,,198.0,,,256.59,263.43,252.48,235.68,247.18,252.55,218.97500000000002,247.76,255.41500000000002,247.42,254.65,260.88,258.65999999999997,249.44,260.37,247.8,256.0,,,,260.44,255.305,,215.72500000000002,255.655,,216.5,169.45,185.785,167.71,199.63,,,,,,,,,,,,,,,L5
2005-08-16 22:15:00+00:00,,,,,,,,,,,,190.4,,,276.11,,317.76,315.97,315.51,319.7,311.68,312.03,311.23,307.97,301.04,301.13,305.28,300.44,295.75,299.95,291.38,294.21,295.09,291.38,287.14,285.57,286.31,282.22,,279.9,272.76,265.79,260.86,260.49,253.39,252.81,250.25,248.02,242.65,249.69,245.21,245.62,238.95,238.4,239.0,237.01,233.65,239.92,238.67,242.75,238.41,242.0,245.42,241.66,254.65,246.13,253.09,255.16,252.8,248.27,246.75,229.7,218.94,243.69,,,,,,,230.26999999999998,230.10666666666665,249.22,226.32,214.92,208.40333333333334,217.8033333333333,231.19,238.48,247.29,205.66,212.47,,257.89,288.38,275.43,276.95,267.4,,,,,,,,,285.65,,293.66,286.62,,259.245,,240.655,234.66000000000003,219.35500000000002,203.29,256.11,223.51,281.29,215.91,206.45,239.07,,233.34,232.07,205.72,180.35000000000002,,,,208.06,243.87,237.03,242.28,220.53,,198.0,,295.06,274.78999999999996,278.17,252.48,235.68,247.18,252.55,218.97500000000002,247.76,255.41500000000002,247.42,254.65,260.88,258.65999999999997,249.44,260.37,247.8,256.0,,,,260.44,255.305,,215.72500000000002,255.655,,216.5,169.45,185.785,167.71,199.63,,,,,,,,173.35,,,,,,,L5
2006-01-23 22:16:59+00:00,,,,,,,,,,257.36,264.1,190.4,,,276.11,356.04,338.04999999999995,333.405,337.53999999999996,345.155,335.605,333.04999999999995,331.675,330.64,325.45000000000005,324.79499999999996,323.515,321.40999999999997,315.88,317.79999999999995,313.88,312.92499999999995,311.96,310.885,310.28,307.825,312.0,303.87,324.27,301.13,299.76,265.79,260.86,260.49,253.39,252.81,250.25,276.795,274.595,249.69,245.21,274.46500000000003,271.115,269.065,269.62,266.435,265.38,268.255,238.67,242.75,238.41,242.0,245.42,276.815,254.65,246.13,253.09,255.16,252.8,294.555,246.75,229.7,218.94,243.69,,,,,332.13,,243.37,244.53,249.22,242.6,232.9,233.84,230.87,231.19,238.48,247.29,205.66,212.47,,257.89,288.38,320.505,276.95,267.4,360.48,,,355.69,355.41,359.31,358.0,,326.775,367.64,332.755,326.45,366.21,330.32,370.56,,,,,,,281.29,,369.75,371.14,372.98,267.03,,,,,,,,,,,,363.25,361.34,,326.1,292.99,292.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.75,,,173.35,,264.6,261.67,258.09,259.52,160.85,L5
